Date,Severity,Source,Type,Domain,Identifier,Info
2025-12-11,Medium,URLHaus,Malicious URL,dps-radar.cfd,https://dps-radar.cfd/download.php,"URLHaus ID: 3731445 | Threat: malware_download | Tags: apk , banker"
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/bboyfuria/custom_addons/releases/download/1.2.3/custom_addons_v1.2.3.zip,"URLHaus ID: 3731489 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,9pt.bu1gep2lest.ru,https://9pt.bu1gep2lest.ru/xsuy9j33,URLHaus ID: 3731477 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/loganbtchss/pixel_logs/releases/download/eleonorite/eleonorite.for.pixel_logs.zip,"URLHaus ID: 3731478 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/HUSAm0093/DM-Arena-FiveM/releases/download/v3.1.4/DM.Arena.FiveM.v3.1.4.zip,"URLHaus ID: 3731479 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,27.37.32.119,http://27.37.32.119:53303/i,"URLHaus ID: 3731485 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,115.63.33.146,http://115.63.33.146:50742/i,"URLHaus ID: 3731484 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,124.92.88.108,http://124.92.88.108:38444/i,"URLHaus ID: 3731483 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,125.44.255.46,http://125.44.255.46:54890/i,"URLHaus ID: 3731482 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,115.50.226.50,http://115.50.226.50:35394/i,"URLHaus ID: 3731481 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,221.15.85.213,http://221.15.85.213:38690/i,"URLHaus ID: 3731480 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,221.15.93.11,http://221.15.93.11:54891/i,"URLHaus ID: 3731486 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,175.30.116.39,http://175.30.116.39:48977/i,"URLHaus ID: 3731487 | Threat: malware_download | Tags: 32-bit, elf, mirai, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,61.52.76.111,http://61.52.76.111:60338/i,"URLHaus ID: 3731488 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,115.50.51.182,http://115.50.51.182:51856/i,"URLHaus ID: 3731492 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,trace.bu1gep2lest.ru,https://trace.bu1gep2lest.ru/k6e9iubz,URLHaus ID: 3731475 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,85.15.111.160,http://85.15.111.160:51636/i,"URLHaus ID: 3731491 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,110.39.235.130,http://110.39.235.130:46069/i,"URLHaus ID: 3731490 | Threat: malware_download | Tags: 32-bit, elf, Mozi"
2025-12-11,Medium,URLHaus,Malicious URL,xk.po5tr2diat.ru,https://xk.po5tr2diat.ru/k777as0x,URLHaus ID: 3731493 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/h3llSd/FiveM-External-Cheat/raw/refs/heads/main/Loader.exe,"URLHaus ID: 3731494 | Threat: malware_download | Tags: exe, Vidar"
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/cha1llme/FiveM-Spoofer/raw/refs/heads/main/CFXBypass.exe,"URLHaus ID: 3731495 | Threat: malware_download | Tags: exe, Vidar"
2025-12-11,Medium,URLHaus,Malicious URL,xk.po5tr2diat.ru,https://xk.po5tr2diat.ru/q9qcksb2,URLHaus ID: 3731496 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/ea636363/Roblox-Arctic-Script/releases/download/v2.0.4/Roblox.Arctic.Script.v2.0.4.zip,"URLHaus ID: 3731497 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,3i.po5tr2diat.ru,https://3i.po5tr2diat.ru/k12ra21w,URLHaus ID: 3731498 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,fusion.po5tr2diat.ru,https://fusion.po5tr2diat.ru/hb0xi3qe,URLHaus ID: 3731499 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/aytemiz97/my_files/raw/refs/heads/main/Application.zip,"URLHaus ID: 3731500 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/kenneth0307/BloxRatP/releases/download/2.4.7-alpha.5/BloxRatP.v2.4.7-alpha.5.zip,"URLHaus ID: 3731501 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,gate.po5tr2diat.ru,https://gate.po5tr2diat.ru/nezva8f8,URLHaus ID: 3731502 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,trace.bu1gep2lest.ru,https://trace.bu1gep2lest.ru/c5pnf6vx,URLHaus ID: 3731476 | Threat: malware_download | Tags: ClearFake
2025-12-11,Medium,URLHaus,Malicious URL,github.com,https://github.com/AlanFara/x99-vehicleradio/releases/download/v2.6.9/x99-vehicleradio.v2.6.9.zip,"URLHaus ID: 3731474 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,103.77.241.135,http://103.77.241.135/hiddenbin/Space.mpsl,"URLHaus ID: 3731563 | Threat: malware_download | Tags: elf, ua-wget"
2025-12-11,Medium,URLHaus,Malicious URL,raw.githubusercontent.com,https://raw.githubusercontent.com/raajpuneet/FiveM-Mod-Menu/main/starlet/FiveM-Mod-Menu.zip,"URLHaus ID: 3731459 | Threat: malware_download | Tags: SmartLoader, zip"
2025-12-11,Medium,URLHaus,Malicious URL,apsom.org,https://apsom.org/Stub.exe,URLHaus ID: 3731447 | Threat: malware_download | Tags: No tags
2025-12-11,Medium,URLHaus,Malicious URL,89.145.160.158,http://89.145.160.158/001010101010010110101011101010101101010111010101/nwfaiehg4ewijfgriehgirehaughrarg.i468,"URLHaus ID: 3731448 | Threat: malware_download | Tags: elf, ua-wget"
2025-12-11,Medium,URLHaus,Malicious URL,194.15.36.84,http://194.15.36.84/telnetd,"URLHaus ID: 3731449 | Threat: malware_download | Tags: elf, ua-wget"
2025-12-11,Medium,URLHaus,Malicious URL,41.216.189.159,http://41.216.189.159/bins/Labelloperc80.i468,"URLHaus ID: 3731450 | Threat: malware_download | Tags: elf, ua-wget"
2025-12-11,Medium,URLHaus,Malicious URL,92.112.125.172,http://92.112.125.172/z/89/arm4,"URLHaus ID: 3731452 | Threat: malware_download | Tags: elf, ua-wget"
2025-12-11,Medium,URLHaus,Malicious URL,92.112.125.172,http://92.112.125.172/arm4,"URLHaus ID: 3731451 | Threat: malware_download | Tags: elf, ua-wget"
2025-12-11,Medium,URLHaus,Malicious URL,96.44.154.209,http://96.44.154.209/qLNtbwloCueKCRLnLbq239.bin,URLHaus ID: 3731454 | Threat: malware_download | Tags: No tags
2025-12-11,Medium,URLHaus,Malicious URL,96.44.154.209,http://96.44.154.209/zkiLE255.bin,URLHaus ID: 3731453 | Threat: malware_download | Tags: No tags
2025-12-11,Medium,URLHaus,Malicious URL,178.16.55.189,http://178.16.55.189/files/7359455182/GqrPY34.exe,"URLHaus ID: 3731455 | Threat: malware_download | Tags: c2-monitor-auto, dropped-by-amadey"
